sale_counter,property_id,contract_date,settlement_date,purchase_price,component_code,sale_code,interest_percent,dealing_number
46,4498625,2022-12-23,2023-11-15,1430000,,XA,0,AT604750
47,4498625,2023-05-19,2023-07-07,1472000,,XA,0,AT248118
48,4498625,2023-07-12,2023-09-04,1524000,,XA,0,AT412029
49,4498625,2023-07-03,2023-07-31,1199888,,XA,0,AT308654
50,4498625,2023-07-20,2023-08-31,1517000,,XA,0,AT400942
51,4498625,2023-05-22,2023-07-03,1433000,,XA,0,AT233424
52,4498625,2023-05-18,2023-07-19,1475000,,XA,0,AT276423
53,4498625,2023-05-30,2023-07-11,1576000,,XA,0,AT253538
54,4498625,2023-08-02,2023-09-12,1219000,,XA,0,AT430688
55,4498625,2022-05-18,2023-08-04,1523000,,XA,0,AT326076
56,4498625,2023-07-14,2023-09-18,1219000,,XA,0,AT445878
57,4498625,2022-04-21,2023-07-06,1460000,,XA,0,AT241214
60,4498625,2022-05-17,2023-09-28,1963000,,XA,0,AT475857
61,4430759,2023-12-05,2023-12-21,655000,,,0,AT728939
68,3720923,2023-11-21,2023-12-22,650000,,,0,AT731218
69,3848561,2023-11-09,2023-12-22,450000,,,0,AT731116
70,3976048,2023-11-10,2023-12-22,775000,,,0,AT733269
71,3976048,2023-12-20,2023-12-22,740000,,,0,AT733599
72,3923582,2023-12-02,2023-12-22,765000,,,0,AT732962
1,4052898,2023-10-12,2024-01-04,965000,,,0,AT741687
2,1456665,2023-12-14,2023-12-29,587500,,,0,AT737201
4,1912183,2023-12-22,2024-01-04,1350000,,,0,AT741689
1,830814,2023-11-17,2023-12-29,846000,,,0,AT737711
2,4154559,2023-07-31,2023-12-29,580000,,,0,AT737695
4,3994083,2023-10-27,2023-12-29,610000,,,0,AT738013
5,4498625,2023-04-11,2023-12-18,1179000,,,0,AT705263
11,4430759,2020-05-12,2024-01-04,700000,,,0,AT741064
12,4498625,2023-09-13,2023-10-10,800000,,XA,0,AT505106
13,4498625,2022-03-25,2023-12-15,1555000,,,0,AT698882
14,4498625,2023-05-03,2023-10-05,2146000,,XA,0,AT493990
15,4498625,2022-04-06,2023-09-29,1540000,,XA,0,AT482427
16,4498625,2023-11-21,2023-12-01,2170000,,XA,0,AT652964
17,4498625,2023-03-03,2023-10-09,2071000,,XA,0,AT504525
20,606030,2023-11-18,2024-01-03,1580000,,,0,AT740584
21,4498625,2023-06-19,2023-07-31,1190000,,XA,0,AT308606
22,4498625,2023-09-12,2023-09-27,1480000,,XA,0,AT472150
23,4498625,2022-09-16,2023-07-05,1436680,,XA,0,AT237949
24,4498625,2022-05-24,2023-07-05,1137000,,XA,0,AT239522
25,4498625,2022-12-23,2023-11-15,1430000,,XA,0,AT604750
26,4498625,2023-05-19,2023-07-07,1472000,,XA,0,AT248118
27,4498625,2023-07-12,2023-09-04,1524000,,XA,0,AT412029
28,4498625,2023-07-03,2023-07-31,1199888,,XA,0,AT308654
29,4498625,2023-07-20,2023-08-31,1517000,,XA,0,AT400942
30,4498625,2023-05-22,2023-07-03,1433000,,XA,0,AT233424
31,4498625,2023-05-18,2023-07-19,1475000,,XA,0,AT276423
32,4498625,2023-05-30,2023-07-11,1576000,,XA,0,AT253538
33,4498625,2023-08-02,2023-09-12,1219000,,XA,0,AT430688
34,4498625,2022-05-18,2023-08-04,1523000,,XA,0,AT326076
35,4498625,2023-07-14,2023-09-18,1219000,,XA,0,AT445878
36,4498625,2022-04-21,2023-07-06,1460000,,XA,0,AT241214
37,4498625,2023-10-24,2023-12-15,900000,,,0,AT697820
38,4498625,2021-06-29,2023-10-05,2009000,,XA,0,AT494021
39,4498625,2022-05-17,2023-09-28,1963000,,XA,0,AT475857
40,4498625,2023-09-13,2023-10-10,800000,,XA,0,AT505106
41,4498625,2022-03-25,2023-12-15,1555000,,,0,AT698882
42,4498625,2023-05-03,2023-10-05,2146000,,XA,0,AT493990
44,4498625,2023-11-21,2023-12-01,2170000,,XA,0,AT652964
45,4498625,2023-03-03,2023-10-09,2071000,,XA,0,AT504525
46,3950554,2023-10-11,2023-12-29,293333,,,0,AT738208
2,890210,2023-11-24,2024-01-05,555000,,,0,AT742246
3,871434,2023-10-18,2024-01-08,450000,,,0,AT744358
5,890323,2023-11-23,2024-01-10,475000,,,0,AT748916
6,893770,2023-11-28,2024-01-10,1145000,,,0,AT747874
7,894292,2023-11-11,2024-01-11,1490000,,,0,AT750740
8,872448,2023-11-25,2024-01-08,1515000,,,0,AT743906
10,867816,2023-11-18,2024-01-08,600000,,,0,AT744218
11,4115146,2023-11-11,2024-01-11,1027000,,,0,AT751143
13,4520267,2023-11-20,2024-01-08,820000,,,0,AT743746
14,3182274,2023-11-10,2024-01-10,620000,,,0,AT748139
15,4413027,2023-11-10,2024-01-10,852000,,,0,AT747948
16,4488806,2023-11-24,2024-01-05,1010800,,,0,AT742244
18,3852882,2023-11-30,2024-01-08,570000,,,0,AT743971
19,3852882,2023-10-23,2024-01-08,923000,,,0,AT743991
20,3956155,2023-09-30,2024-01-08,1875000,,,0,AT744680
21,4293060,2023-11-21,2024-01-11,550000,,,0,AT751698
22,4259378,2023-11-24,2024-01-09,565000,,,0,AT745588
23,4278002,2023-11-23,2024-01-08,905000,,,0,AT743556
1,2847282,2023-10-06,2024-01-10,2665000,,,0,AT748298
3,3494818,2023-11-24,2024-01-10,800000,,,0,AT748205
5,1456614,2023-10-06,2024-01-08,1050000,,,0,AT744588
7,1905163,2023-11-11,2024-01-10,1295000,,,0,AT749438
10,1900932,2023-11-24,2024-01-08,1800000,,,0,AT744041
11,1906146,2023-11-14,2024-01-10,985000,,,0,AT747670
14,1453257,2023-11-08,2024-01-11,1300000,,,0,AT750371
15,3249476,2023-11-01,2024-01-08,935000,,,0,AT743773
17,3866484,2023-12-14,2024-01-10,800000,,,0,AT747642
18,3802268,2023-11-30,2024-01-11,1040000,,,0,AT751172
19,3802268,2023-12-10,2024-01-10,1040000,,,0,AT747356
5,844999,2023-11-15,2024-01-09,800000,,,0,AT745491
6,2832336,2023-12-06,2024-01-09,812000,,,0,AT745431
7,2935545,2023-11-24,2024-01-10,702500,,,0,AT748642
8,2984322,2023-11-22,2024-01-11,405000,,,0,AT750058
9,3435711,2023-11-29,2024-01-11,438000,,,0,AT751236
10,4216261,2023-11-02,2024-01-09,627200,,,0,AT746037
11,838621,2023-11-11,2024-01-08,480000,,,0,AT743805
13,3562292,2023-11-25,2024-01-08,730000,,,0,AT744001
14,4049003,2023-11-24,2024-01-08,745000,,,0,AT743984
15,4067981,2023-11-27,2024-01-08,648000,,,0,AT743831
16,4498625,2023-04-11,2023-12-18,1179000,,XA,0,AT705263
22,4498625,2023-09-13,2023-10-10,800000,,XA,0,AT505106
23,4498625,2022-03-25,2023-12-15,1555000,,XA,0,AT698882
24,4498625,2023-05-03,2023-10-05,2146000,,XA,0,AT493990
25,4498625,2022-04-06,2023-09-29,1540000,,XA,0,AT482427
26,4498625,2023-11-21,2023-12-01,2170000,,XA,0,AT652964
27,4498625,2023-03-03,2023-10-09,2071000,,XA,0,AT504525
28,3181871,2023-11-27,2024-01-08,430000,,,0,AT744677
29,3210000,2023-09-14,2024-01-11,675000,,,0,AT751657
30,3225001,2023-11-24,2024-01-09,630000,,,0,AT746414
32,3720000,2023-11-18,2024-01-08,975000,,,0,AT744536
33,3720923,2023-11-29,2024-01-10,550000,,,0,AT749425
34,3631589,2023-11-30,2024-01-11,575000,,,0,AT751068
35,632477,2023-11-25,2024-01-10,600000,,,0,AT748964
36,632477,2023-11-25,2024-01-10,600000,,,0,AT748964
37,3366672,2023-11-15,2024-01-11,990000,,,0,AT751241
38,4384659,2023-11-23,2024-01-10,505000,,,0,AT749228
39,4498625,2023-06-19,2023-07-31,1190000,,XA,0,AT308606
40,4498625,2023-09-12,2023-09-27,1480000,,XA,0,AT472150
41,4498625,2022-09-16,2023-07-05,1436680,,XA,0,AT237949
42,4498625,2022-05-24,2023-07-05,1137000,,XA,0,AT239522
43,4498625,2022-12-23,2023-11-15,1430000,,XA,0,AT604750
44,4498625,2023-05-19,2023-07-07,1472000,,XA,0,AT248118
45,4498625,2023-07-12,2023-09-04,1524000,,XA,0,AT412029
46,4498625,2023-07-03,2023-07-31,1199888,,XA,0,AT308654
47,4498625,2023-07-20,2023-08-31,1517000,,XA,0,AT400942
48,4498625,2023-05-22,2023-07-03,1433000,,XA,0,AT233424
49,4498625,2023-05-18,2023-07-19,1475000,,XA,0,AT276423
50,4498625,2023-05-30,2023-07-11,1576000,,XA,0,AT253538
51,4498625,2023-08-02,2023-09-12,1219000,,XA,0,AT430688
52,4498625,2022-05-18,2023-08-04,1523000,,XA,0,AT326076
53,4498625,2023-07-14,2023-09-18,1219000,,XA,0,AT445878
54,4498625,2022-04-21,2023-07-06,1460000,,XA,0,AT241214
57,4498625,2022-05-17,2023-09-28,1963000,,XA,0,AT475857
58,4300881,2020-12-03,2024-01-10,688000,,,0,AT748913
64,4498625,2023-03-03,2023-10-09,2071000,,XA,0,AT504525
66,3768264,2023-11-18,2024-01-05,525000,,,0,AT742378
67,3976048,2023-10-13,2024-01-11,775000,,,0,AT750518
68,3976048,2023-11-01,2024-01-10,600000,,,0,AT749202
69,3954441,2023-11-28,2024-01-09,410000,,,0,AT745898
70,4324435,2023-10-08,2024-01-09,1073000,,,0,AT746608
71,4300881,2023-01-24,2024-01-10,870000,,,0,AT749222
72,4336967,2023-11-20,2024-01-09,995000,,,0,AT746618
1,883124,2023-08-21,2024-01-12,1460000,,,0,AT753477
2,2974935,2023-11-30,2024-01-18,1150000,,,0,AT770044
3,4205410,2023-10-20,2024-01-18,872000,,,0,AT768487
4,4205673,2023-12-02,2024-01-15,600000,,,0,AT758566
7,879332,2023-12-07,2024-01-18,720000,,,0,AT767749
9,858213,2023-12-12,2024-01-18,424000,,,0,AT768806
14,863570,2023-11-26,2024-01-17,1300000,,,0,AT763769
17,858679,2023-11-22,2024-01-15,1515000,,,0,AT756237
24,891146,2023-11-27,2024-01-15,920000,,,0,AT757475
25,864368,2023-12-06,2024-01-12,937500,,,0,AT753458
26,880478,2023-11-30,2024-01-18,465000,,,0,AT768768
27,885901,2023-10-19,2024-01-17,745000,,,0,AT765604
30,872738,2023-12-13,2024-01-18,827000,,,0,AT767405
36,893109,2023-12-04,2024-01-15,545000,,,0,AT756259
38,873838,2023-11-25,2024-01-18,625000,,,0,AT767627
40,4092793,2023-11-13,2024-01-16,605000,,,0,AT762020
41,4107595,2023-11-28,2024-01-16,590000,,,0,AT762166
42,4107595,2023-10-26,2024-01-18,1080000,,,0,AT769617
43,4093256,2023-11-17,2024-01-18,610000,,,0,AT768490
44,4085183,2023-11-22,2024-01-12,625000,,,0,AT754983
45,4520267,2023-08-15,2024-01-15,850000,,,0,AT759896
46,3109585,2023-12-16,2024-01-18,1885000,,,0,AT768060
47,3685342,2023-11-29,2024-01-16,930000,,,0,AT760735
48,3757065,2023-12-18,2024-01-15,778800,,,0,AT757996
49,3267810,2023-12-02,2024-01-15,1480000,,,0,AT757282
51,4413027,2023-10-19,2024-01-17,1355000,,,0,AT766026
52,4486502,2023-11-17,2024-01-15,1250000,,,0,AT756477
53,4383249,2023-12-19,2024-01-18,865000,,,0,AT770042
56,3872764,2023-12-01,2024-01-12,502500,,,0,AT754956
57,3852882,2023-11-24,2024-01-15,868000,,,0,AT757491
58,3836569,2023-11-17,2024-01-15,705000,,,0,AT758944
59,3774447,2023-12-01,2024-01-17,590000,,,0,AT765694
60,3983910,2023-12-05,2024-01-17,595000,,,0,AT765607
62,3936063,2023-11-18,2024-01-18,825000,,,0,AT768433
63,4309581,2023-12-06,2024-01-17,690000,,,0,AT765503
64,4367031,2023-12-01,2024-01-12,943000,,,0,AT753185
65,4293060,2023-12-15,2024-01-15,540000,,,0,AT756955
66,4257473,2023-11-13,2024-01-18,770000,,,0,AT768459
67,4259378,2023-12-07,2024-01-18,708000,,,0,AT770313
68,4278002,2023-10-20,2024-01-17,430000,,,0,AT764273
69,4278002,2023-09-22,2024-01-12,524500,,,0,AT754594
1,1904051,2023-10-14,2024-01-15,1220000,,,0,AT758341
2,1904051,2023-11-23,2024-01-12,1060000,,,0,AT754294
3,2886592,2023-10-27,2024-01-17,2200000,,,0,AT765756
4,4171381,2023-11-30,2024-01-18,788000,,,0,AT770828
6,4138844,2023-11-29,2024-01-16,1185000,,,0,AT762500
7,4155787,2023-12-02,2024-01-15,850000,,,0,AT757358
8,3517691,2023-12-08,2024-01-18,675000,,,0,AT769259
9,3567862,2023-11-11,2024-01-18,835000,,,0,AT770275
11,1455410,2023-10-24,2024-01-17,1580000,,,0,AT765315
14,1448676,2023-11-29,2024-01-15,745000,,,0,AT757355
15,1448676,2023-11-29,2024-01-15,745000,,,0,AT757355
18,3124271,2023-12-19,2024-01-16,500000,,,0,AT763125
19,3707304,2023-12-07,2024-01-18,1010000,,,0,AT767798
20,3721837,2023-12-06,2024-01-17,1058000,,,0,AT764902
21,1905163,2023-09-27,2024-01-17,1510000,,,0,AT764883
22,1910453,2023-11-28,2024-01-15,1425000,,,0,AT757110
23,1900390,2023-12-07,2024-01-18,1300000,,,0,AT767534
24,1905800,2023-11-23,2024-01-16,780000,,,0,AT762503
25,1901224,2023-11-18,2024-01-16,1260000,,,0,AT762358
27,1911454,2023-10-29,2024-01-15,1560000,,,0,AT757732
28,1904292,2023-12-06,2024-01-17,1735000,,,0,AT764671
29,1902094,2023-11-04,2024-01-16,1500000,,,0,AT761587
32,2846075,2023-11-18,2024-01-15,2065000,,,0,AT757052
33,3299180,2023-11-29,2024-01-17,489000,,,0,AT764839
34,3802268,2023-12-05,2024-01-16,970000,,,0,AT763118
35,3814471,2023-12-22,2024-01-17,1500000,,,0,AT763907
36,4014793,2024-01-05,2024-01-18,575000,,,0,AT769382
37,4014793,2023-12-04,2024-01-15,525000,,,0,AT758487
38,4334581,2023-11-22,2024-01-16,1030000,,,0,AT761431
2,815352,2023-11-17,2024-01-18,489000,,,0,AT769147
3,804676,2023-12-04,2024-01-18,520000,,,0,AT767761
4,810241,2023-12-06,2024-01-17,465000,,,0,AT763747
5,810241,2023-12-06,2024-01-17,465000,,,0,AT763747
6,823953,2023-11-16,2024-01-15,746000,,,0,AT756945
10,813744,2023-11-29,2024-01-15,575000,,,0,AT757379
11,819149,2023-11-23,2024-01-18,482500,,,0,AT768313
13,824787,2023-12-22,2024-01-15,450000,,,0,AT759270
14,803494,2023-11-19,2024-01-15,1365000,,,0,AT758401
16,814620,2023-12-06,2024-01-17,530000,,,0,AT763809
18,825662,2023-12-02,2024-01-15,832000,,,0,AT759319
19,842133,2023-11-28,2024-01-15,662000,,,0,AT756902
22,845622,2023-11-14,2024-01-11,25675000,,,0,AT752294
23,845622,2023-11-14,2024-01-11,25675000,,,0,AT752294
24,845622,2023-11-14,2024-01-11,25675000,,,0,AT752294
25,845622,2023-11-14,2024-01-11,25675000,,,0,AT752294
26,845622,2023-11-14,2024-01-11,25675000,,,0,AT752294
27,845622,2023-11-14,2024-01-11,25675000,,,0,AT752294
29,2439729,2023-12-06,2024-01-17,900000,,,0,AT764471
30,2447301,2023-09-27,2024-01-15,460000,,,0,AT760095
31,2450562,2023-12-02,2024-01-15,600000,,,0,AT759195
32,807597,2023-12-01,2024-01-16,750000,,,0,AT761573
33,2825989,2023-12-01,2024-01-15,890000,,,0,AT759789
34,661343,2023-12-02,2024-01-15,867000,,,0,AT758191
35,822301,2023-11-09,2024-01-18,505000,,,0,AT769387
36,3455063,2023-12-16,2024-01-15,1105000,,,0,AT759922
37,4154559,2023-11-22,2024-01-12,876000,,,0,AT753620
38,4154096,2023-11-14,2024-01-15,930000,,,0,AT757095
39,4181717,2023-12-06,2024-01-17,570000,,,0,AT766833
40,4232354,2023-12-18,2024-01-18,710000,,,0,AT768519
41,4232354,2023-11-10,2024-01-15,910000,,,0,AT756935
42,4216261,2023-12-08,2024-01-12,564500,,,0,AT755770
43,4146902,2023-11-10,2024-01-15,650000,,,0,AT756286
44,4183617,2023-11-20,2024-01-12,575000,,,0,AT755501
45,4221798,2023-12-15,2024-01-18,960000,,,0,AT768496
48,851324,2023-12-04,2024-01-15,645000,,,0,AT759106
49,851324,2023-12-04,2024-01-15,645000,,,0,AT759106
50,840836,2023-11-28,2024-01-15,915000,,,0,AT758951
51,846462,2023-12-06,2024-01-17,435000,,,0,AT764138
52,832983,2023-12-03,2024-01-15,495000,,,0,AT757333
53,835686,2023-12-01,2024-01-12,795000,,,0,AT753126
54,852474,2023-11-11,2024-01-16,570000,,,50,AT761227
55,852781,2023-12-06,2024-01-17,935000,,,0,AT764962
57,855058,2023-11-16,2024-01-18,500000,,,0,AT769150
58,1309611,2023-11-17,2024-01-15,770000,,,0,AT756235
59,1313793,2023-12-22,2024-01-17,1100000,,,0,AT764362
60,3139601,2023-12-18,2024-01-18,581000,,,0,AT767997
62,3605387,2023-11-27,2024-01-15,515000,,,0,AT759875
63,3554788,2023-12-01,2024-01-12,920000,,,0,AT753561
64,3595192,2023-12-14,2024-01-16,795000,,,0,AT762622
65,4055531,2023-12-01,2024-01-12,500000,,,0,AT754941
66,4059318,2023-12-09,2024-01-15,570000,,,0,AT758015
67,4067507,2023-12-02,2024-01-17,853000,,,0,AT764647
68,4134711,2023-11-15,2024-01-15,830500,,,0,AT759344
69,4125268,2023-12-15,2024-01-18,600000,,,0,AT769227
70,4128861,2023-11-16,2024-01-17,860000,,,0,AT764615
71,4041754,2023-11-22,2024-01-15,538000,,,0,AT758074
72,4498625,2023-04-11,2023-12-18,1179000,,XA,0,AT705263
78,4430759,2019-08-09,2024-01-17,915000,,,0,AT765539
82,4498625,2023-05-03,2023-10-05,2146000,,XA,0,AT493990
83,4498625,2022-04-06,2023-09-29,1540000,,XA,0,AT482427
84,4498625,2023-11-21,2023-12-01,2170000,,XA,0,AT652964
85,4498625,2023-03-03,2023-10-09,2071000,,XA,0,AT504525
94,3181871,2023-11-23,2024-01-12,590000,,,0,AT753141
95,3189376,2023-12-05,2024-01-16,825000,,,0,AT760758
96,3195830,2023-11-11,2024-01-17,520000,,,0,AT763990
97,3214126,2023-11-02,2024-01-18,1040000,,,0,AT768437
98,3672959,2023-12-15,2024-01-12,575000,,,0,AT753856
99,3672959,2023-11-23,2024-01-15,410000,,,0,AT758558
100,3622703,2023-12-05,2024-01-16,730300,,,0,AT762431
101,3660664,2023-12-07,2024-01-18,805000,,,0,AT769666
102,3680156,2023-12-05,2024-01-16,554000,,,0,AT760744
103,3720605,2023-11-14,2024-01-17,390000,,,0,AT766540
104,3732832,2023-12-05,2024-01-16,515000,,,0,AT761509
105,3651685,2023-12-01,2024-01-12,571000,,,0,AT753751
106,3651685,2023-12-17,2024-01-16,510000,,,0,AT760553
107,3639514,2023-10-19,2024-01-17,880000,,,0,AT766087
108,3639514,2023-11-02,2024-01-17,740000,,,0,AT764877
109,3650918,2023-11-30,2024-01-18,610000,,,0,AT769307
110,3651685,2023-12-04,2024-01-17,833500,,,0,AT766051
117,661640,2023-10-25,2024-01-15,900000,,,0,AT756329
118,2856808,2023-12-01,2024-01-12,768000,,,0,AT753810
119,2856989,2023-11-24,2024-01-18,420000,,,0,AT769917
121,2842977,2023-11-29,2024-01-12,280000,,,0,AT755435
122,3289053,2023-11-22,2024-01-15,780000,,,0,AT757497
123,3251203,2023-12-02,2024-01-15,1080000,,,0,AT756918
124,3295793,2023-11-15,2024-01-12,1110000,,,0,AT753226
127,4430759,2023-11-13,2024-01-15,620000,,,0,AT756682
128,4498625,2023-06-19,2023-07-31,1190000,,XA,0,AT308606
129,4498625,2023-09-12,2023-09-27,1480000,,XA,0,AT472150
131,4498625,2022-05-24,2023-07-05,1137000,,XA,0,AT239522
132,4498625,2022-12-23,2023-11-15,1430000,,XA,0,AT604750
137,4498625,2023-05-22,2023-07-03,1433000,,XA,0,AT233424
138,4498625,2023-05-18,2023-07-19,1475000,,XA,0,AT276423
139,4498625,2023-05-30,2023-07-11,1576000,,XA,0,AT253538
140,4498625,2023-08-02,2023-09-12,1219000,,XA,0,AT430688
147,4430759,2021-11-30,2024-01-15,1200000,,,0,AT757561
148,4498625,2023-09-13,2023-10-10,800000,,XA,0,AT505106
150,4498625,2023-05-03,2023-10-05,2146000,,XA,0,AT493990
151,4498625,2022-04-06,2023-09-29,1540000,,XA,0,AT482427
152,4498625,2023-11-21,2023-12-01,2170000,,XA,0,AT652964
153,4498625,2023-03-03,2023-10-09,2071000,,XA,0,AT504525
154,4422030,2023-09-04,2024-01-15,722500,,,0,AT757924
155,4422339,2023-12-15,2024-01-17,818000,,,0,AT763819
156,3790377,2023-12-07,2024-01-18,945500,,,0,AT769702
157,3865585,2023-11-29,2024-01-17,1165500,,,0,AT764076
158,3833560,2023-11-08,2024-01-15,657000,,,0,AT757828
159,3881144,2023-11-27,2024-01-18,615000,,,0,AT769100
160,3881144,2023-11-15,2024-01-12,685000,,,0,AT755149
161,3852158,2023-11-13,2024-01-15,724000,,,0,AT756687
162,3814597,2023-12-12,2024-01-15,465000,,,0,AT757249
163,3876717,2023-11-29,2024-01-16,545000,,,0,AT760959
164,3848561,2023-12-01,2024-01-12,400000,,,0,AT755643
165,3976048,2023-12-04,2024-01-15,770000,,,0,AT759883
166,3990115,2023-11-21,2024-01-16,740000,,,0,AT761888
167,3990155,2023-11-24,2024-01-18,795000,,,0,AT767630
168,3979575,2023-11-18,2024-01-17,740688,,,0,AT765983
169,3986285,2023-11-22,2024-01-18,840000,,,0,AT769140
170,3950554,2023-12-13,2024-01-18,612000,,,0,AT767506
171,4302424,2023-11-28,2024-01-15,835000,,,0,AT758970
172,4269042,2023-11-30,2024-01-18,1385000,,,0,AT769256
173,4265454,2023-11-02,2024-01-15,898000,,,0,AT759925
175,4360400,2023-11-21,2024-01-18,656000,,,0,AT769000
176,4323971,2023-11-29,2024-01-17,875000,,,0,AT764618
177,4323971,2023-11-23,2024-01-18,650000,,,0,AT768541
1,2861550,2023-10-12,2024-01-19,2470000,,,0,AT773027
3,3445162,2023-11-20,2024-01-19,1582500,,,0,AT775400
4,4205673,2023-12-20,2024-01-25,875000,,,0,AT791850
5,4187133,2023-11-29,2024-01-22,887500,,,0,AT777482
10,893770,2023-12-12,2024-01-23,842000,,,0,AT783613
11,869027,2023-11-30,2024-01-19,1460000,,,0,AT772138
15,864368,2023-11-21,2024-01-22,885000,,,0,AT780055
16,867014,2023-11-07,2024-01-19,700000,,,0,AT775631
17,867014,2023-11-07,2024-01-19,700000,,,0,AT775631
19,872724,2023-12-08,2024-01-19,1495000,,,0,AT772333
21,880836,2023-11-21,2024-01-25,640000,,,0,AT790984
22,867542,2024-01-19,2024-01-19,1115000,,,0,AT775390
28,867816,2023-12-23,2024-01-22,630000,,,0,AT780449
30,868068,2023-11-01,2024-01-22,1420000,,,0,AT778258
31,860335,2023-11-27,2024-01-22,475000,,,0,AT778303
34,895958,2023-11-24,2024-01-19,490000,,,0,AT773994
35,3042497,2023-12-06,2024-01-22,618000,,,0,AT779269
36,3086662,2023-11-29,2024-01-22,823000,,,0,AT776974
37,3086662,2023-12-11,2024-01-22,1050000,,,0,AT777248
38,4024007,2023-12-06,2024-01-19,1105000,,,0,AT771699
39,4087689,2023-12-10,2024-01-22,660000,,,0,AT778720
40,4085183,2023-12-14,2024-01-22,680000,,,0,AT776921
41,4520094,2023-12-01,2024-01-19,2170000,,,0,AT771801
43,4520267,2023-10-24,2024-01-25,855000,,,0,AT791082
44,4517864,2023-12-12,2024-01-24,620000,,,0,AT787813
45,4517864,2023-12-08,2024-01-24,820000,,,0,AT787219
50,3125293,2023-12-12,2024-01-24,1021000,,,0,AT786987
51,3708362,2023-11-03,2024-01-24,720000,,,0,AT785093
52,892559,2023-07-19,2024-01-19,1050000,,,0,AT775866
53,3236079,2023-11-25,2024-01-19,617000,,,0,AT772811
