G1 CONSUMER PRICE INFLATION,,,,,,,,,,,,,,,,,,,,,
Title,Consumer price index,Year-ended inflation,Year-ended inflation – excluding interest and tax changes,Year-ended inflation – excluding volatile items,Year-ended tradables inflation,Year-ended tradables inflation – excluding volatile items and tobacco,Year-ended non-tradables inflation,Year-ended non-tradable inflation – excluding interest charges and deposit & loan facilities,Year-ended weighted median inflation,Year-ended trimmed mean inflation,Quarterly inflation – original,Quarterly inflation,Quarterly inflation – excluding interest and tax changes,Quarterly inflation – excluding volatile items,Quarterly tradables inflation,Quarterly tradables inflation – excluding volatile items and tobacco,Quarterly non-tradables inflation,Quarterly non-tradables inflation – excluding deposit and loan facilities,Quarterly weighted median inflation,Quarterly trimmed mean inflation,
30/09/1977,20.5,13.3,13.3,,,,,,,,2.0,,,,,,,,,,
31/12/1977,21.0,9.4,9.4,,,,,,,,2.4,,,,,,,,,,
31/03/1978,21.3,8.7,8.7,,,,,,,,1.4,,,,,,,,,,
30/06/1978,21.7,8.0,8.0,,,,,,,,1.9,,,,,,,,,,
30/09/1978,22.1,7.8,7.8,,,,,,,,1.8,,,,,,,,,,
31/12/1978,22.6,7.6,7.6,,,,,,,,2.3,,,,,,,,,,
31/03/1979,23.0,8.0,8.0,,,,,,,,1.8,,,,,,,,,,
30/06/1979,23.6,8.8,8.8,,,,,,,,2.6,,,,,,,,,,
30/09/1979,24.2,9.5,9.5,,,,,,,,2.5,,,,,,,,,,
31/12/1979,24.9,10.2,10.2,,,,,,,,2.9,,,,,,,,,,
31/03/1980,25.4,10.4,10.4,,,,,,,,2.0,,,,,,,,,,
30/06/1980,26.2,11.0,11.0,,,,,,,,3.1,,,,,,,,,,
30/09/1980,26.6,9.9,9.9,,,,,,,,1.5,,,,,,,,,,
31/12/1980,27.2,9.2,9.2,,,,,,,,2.3,,,,,,,,,,
31/03/1981,27.8,9.4,9.4,,,,,,,,2.2,,,,,,,,,,
30/06/1981,28.4,8.4,8.4,,,,,,,,2.2,,,,,,,,,,
30/09/1981,29.0,9.0,9.0,,,,,,,,2.1,,,,,,,,,,
31/12/1981,30.2,11.0,11.0,,,,,,,,4.1,,,,,,,,,,
31/03/1982,30.8,10.8,10.8,,,,,,,,2.0,,,,,,,,,,
30/06/1982,31.5,10.9,10.9,,,,,,,,2.3,2.5,2.5,2.6,1.6,1.7,3.4,3.4,2.3,2.5,
30/09/1982,32.6,12.4,12.4,,,,,,,,3.5,3.5,3.5,3.0,3.3,1.9,3.7,3.7,2.8,3.0,
31/12/1982,33.6,11.3,11.3,,,,,,,,3.1,2.7,2.7,3.0,2.0,2.3,3.4,3.4,2.3,2.6,
31/03/1983,34.3,11.4,11.4,11.2,9.8,8.4,13.2,13.2,9.7,10.7,2.1,2.4,2.4,2.2,2.5,2.2,2.2,2.2,2.0,2.2,
30/06/1983,35.0,11.1,11.1,10.8,11.1,9.8,11.3,11.3,9.1,10.0,2.0,2.2,2.2,2.2,2.9,3.0,1.6,1.6,1.7,1.8,
30/09/1983,35.6,9.2,9.2,9.1,9.4,8.6,9.1,9.1,7.7,8.5,1.7,1.6,1.6,1.4,1.5,0.8,1.7,1.7,1.5,1.5,
31/12/1983,36.5,8.6,8.6,8.2,9.1,7.2,8.2,8.2,7.3,7.9,2.5,2.2,2.2,2.1,1.8,1.1,2.6,2.6,1.9,2.1,
31/03/1984,36.3,5.8,5.8,5.5,7.7,6.2,4.1,4.1,6.8,7.0,-0.5,-0.2,-0.2,-0.3,1.3,1.3,-1.7,-1.7,1.5,1.3,
30/06/1984,36.4,4.0,4.0,3.6,5.5,4.1,2.3,2.3,6.7,6.6,0.3,0.3,0.3,0.4,0.8,1.0,-0.3,-0.3,1.6,1.5,
30/09/1984,36.9,3.7,3.7,3.5,5.3,4.6,1.8,1.8,6.3,6.2,1.4,1.2,1.2,1.2,1.3,1.2,1.2,1.2,1.2,1.2,
31/12/1984,37.4,2.5,2.5,2.6,4.6,4.9,0.5,0.5,5.9,5.4,1.4,1.3,1.3,1.3,1.3,1.4,1.3,1.3,1.5,1.3,
31/03/1985,37.9,4.4,4.4,4.5,4.8,4.9,4.0,4.0,6.1,5.7,1.3,1.5,1.5,1.6,1.3,1.3,1.7,1.7,1.7,1.7,
30/06/1985,38.8,6.6,6.6,6.4,7.1,6.5,6.3,6.2,6.7,6.4,2.4,2.5,2.5,2.2,3.0,2.4,1.9,1.9,2.1,2.1,
30/09/1985,39.7,7.6,7.6,7.4,8.0,7.6,7.1,7.2,7.7,7.4,2.3,2.0,2.0,2.1,2.0,2.1,2.0,2.0,2.2,2.1,
31/12/1985,40.5,8.3,8.3,8.3,8.5,8.6,8.0,8.0,8.2,8.1,2.0,2.0,2.0,2.3,1.9,2.4,2.2,2.2,2.0,2.0,
31/03/1986,41.4,9.2,9.2,9.1,9.8,9.3,8.6,8.7,9.0,8.7,2.2,2.4,2.4,2.2,2.4,2.0,2.3,2.3,2.4,2.2,
30/06/1986,42.1,8.5,8.5,9.3,7.9,9.2,9.0,9.0,9.0,8.6,1.7,1.8,1.8,2.3,1.3,2.4,2.2,2.2,2.1,2.0,
30/09/1986,43.2,8.8,8.8,9.3,8.6,9.3,9.2,9.2,9.0,8.8,2.6,2.5,2.5,2.2,2.7,2.2,2.3,2.3,2.2,2.3,
31/12/1986,44.4,9.6,9.6,9.8,10.3,10.2,9.2,9.2,9.4,9.2,2.8,2.8,2.8,2.6,3.5,3.3,2.1,2.1,2.4,2.4,
31/03/1987,45.3,9.4,9.4,9.5,9.6,9.9,9.2,9.1,9.1,8.9,2.0,2.0,1.9,2.0,1.6,1.7,2.2,2.2,2.1,2.0,
30/06/1987,46.0,9.3,9.1,9.2,9.4,9.3,9.0,9.0,9.0,8.9,1.5,1.8,1.7,2.1,1.2,1.9,2.2,2.2,2.0,1.9,
30/09/1987,46.8,8.3,8.2,8.7,7.5,8.2,9.1,9.1,8.5,8.2,1.7,1.5,1.6,1.8,1.0,1.3,2.4,2.4,1.7,1.7,
31/12/1987,47.6,7.2,7.1,7.6,5.8,6.5,8.8,8.7,7.7,7.5,1.7,1.7,1.8,1.7,1.9,1.7,1.7,1.7,1.7,1.7,
31/03/1988,48.4,6.8,7.0,7.4,6.0,6.8,8.2,8.3,7.5,7.2,1.7,1.7,1.8,1.8,1.8,1.9,1.8,1.8,1.9,1.7,
30/06/1988,49.3,7.2,7.4,7.5,6.8,7.1,7.9,7.9,7.4,7.2,1.9,1.9,1.9,1.9,1.9,2.1,1.9,1.9,1.9,1.9,
30/09/1988,50.2,7.3,7.1,7.4,7.2,7.2,7.4,7.4,7.4,7.2,1.8,2.0,1.7,1.7,1.6,1.6,1.8,1.8,1.7,1.7,
31/12/1988,51.2,7.6,6.9,7.3,6.6,7.5,7.2,7.2,7.4,7.1,2.0,1.8,1.3,1.6,1.0,1.6,1.6,1.6,1.7,1.7,
31/03/1989,51.7,6.8,6.3,6.9,5.6,6.4,7.2,7.1,6.8,6.7,1.0,1.0,1.3,1.4,1.0,1.1,1.7,1.7,1.3,1.3,
30/06/1989,53.0,7.5,6.5,6.4,6.4,5.7,6.7,6.7,6.4,6.4,2.5,2.7,2.2,1.4,2.7,1.3,1.5,1.5,1.6,1.6,
